,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IMPUTATION,,,,,,,,,,,,,,,,,,,,,,,,,PREDICTION,,,,,,,,,,,,,,
,,0 % CTGAN,,,,,50 % CTGAN,,,,,100 % CTGAN,,,,,200 % CTGAN,,,,,500 % CTGAN,,,,,0 % CTGAN,,,50 % CTGAN,,,100 % CTGAN,,,200 % CTGAN,,,500 % CTGAN,,
Dataset,Missing %,mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),Accuracy,AUROC,MSE,Accuracy,AUROC,MSE,Accuracy,AUROC,MSE,Accuracy,AUROC,MSE,Accuracy,AUROC,MSE
Mushroom,10,"[0.3034, 0.3124]",-,"[0.3034, 0.3124]","[9.2052, 9.7628]","[86.2209, 87.6031]","[0.3483, 0.3581]",-,"[0.3483, 0.3581]","[12.1292, 12.826]","[86.6777, 87.9795]","[0.3499, 0.3563]",-,"[0.3499, 0.3563]","[12.2453, 12.6995]","[86.6742, 88.8718]","[0.3611, 0.3753]",-,"[0.3611, 0.3753]","[13.0471, 14.0903]","[86.1335, 103.1861]","[0.4088, 0.4248]",-,"[0.4088, 0.4248]","[16.7056, 18.0566]","[88.3342, 90.619]","[0.9956, 0.9988]","[0.9955, 0.9987]",-,"[0.988, 0.9936]","[0.9878, 0.9934]",-,"[0.9885, 0.9943]","[0.9913, 0.9913]",-,"[0.9888, 0.994]","[0.9914, 0.9914]",-,"[0.9893, 0.9959]","[0.9924, 0.9924]",-
,30,"[0.296, 0.3012]",-,"[0.296, 0.3012]","[8.7575, 9.0731]","[132.1886, 133.8758]","[0.2985, 0.3017]",-,"[0.2985, 0.3017]","[8.9086, 9.1042]","[132.611, 134.702]","[0.3002, 0.3054]",-,"[0.3002, 0.3054]","[9.0082, 9.3268]","[132.902, 134.6184]","[0.302, 0.3062]",-,"[0.302, 0.3062]","[9.1186, 9.384]","[132.5648, 134.6666]","[0.3085, 0.3147]",-,"[0.3085, 0.3147]","[9.5154, 9.9036]","[133.9008, 135.5506]","[0.9876, 0.9964]","[0.9872, 0.9964]",-,"[0.987, 0.994]","[0.9869, 0.9939]",-,"[0.9857, 0.9897]","[0.9876, 0.9876]",-,"[0.9847, 0.9925]","[0.9813, 0.9957]",-,"[0.9832, 0.9892]","[0.9861, 0.9861]",-
,50,"[0.3068, 0.3152]",-,"[0.3068, 0.3152]","[9.4154, 9.9406]","[132.7046, 134.931]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[0.96, 0.9704]","[0.9592, 0.9698]",-,-,-,-,-,-,-,-,-,-,-,-,-
Letter,10,"[0.1427, 0.1551]","[0.1427, 0.1551]",-,-,"[28.0606, 37.5942]","[0.1485, 0.1619]","[0.1485, 0.1619]",-,-,"[31.2427, 35.9013]","[0.1551, 0.1687]","[0.1551, 0.1687]",-,-,"[26.7616, 30.3622]","[0.1668, 0.174]","[0.1668, 0.174]",-,-,"[31.6325, 35.0533]","[0.1851, 0.2001]","[0.1851, 0.2001]",-,-,"[32.673, 34.1362]","[0.7501, 0.7689]","[0.8701, 0.8797]",-,"[0.745, 0.7592]","[0.8676, 0.875]",-,"[0.7327, 0.7561]","[0.8616, 0.8736]",-,"[0.7285, 0.7425]","[0.8592, 0.8662]",-,"[0.6976, 0.7142]","[0.8431, 0.8517]",-
,30,"[0.134, 0.1422]","[0.134, 0.1422]",-,-,"[7.04, 7.1006]","[0.2204, 0.2328]","[0.2204, 0.2328]",-,-,"[7.4555, 7.5195]","[0.249, 0.2574]","[0.249, 0.2574]",-,-,"[7.7111, 7.7613]","[0.2492, 0.2622]","[0.2492, 0.2622]",-,-,"[8.6048, 8.6762]","[0.2571, 0.2673]","[0.2571, 0.2673]",-,-,"[10.7458, 10.7904]","[0.5289, 0.5577]","[0.7552, 0.7708]",-,"[0.4051, 0.4341]","[0.6918, 0.7072]",-,"[0.3671, 0.3885]","[0.6725, 0.6831]",-,"[0.3777, 0.3993]","[0.6763, 0.6879]",-,"[0.3673, 0.3887]","[0.6707, 0.6819]",-
,50,"[0.1379, 0.1411]","[0.1379, 0.1411]",-,-,"[6.8757, 6.9091]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[0.3574, 0.3756]","[0.6675, 0.6769]",-,,,-,,,-,,,-,,,-
Bank,10,"[0.4484, 0.4596]","[0.1627, 0.1731]","[0.4172, 0.4264]","[17.4039, 18.1855]","[40.8879, 43.5495]","[0.4948, 0.511]","[0.2218, 0.2494]","[0.4395, 0.4485]","[19.3125, 20.1207]","[41.7206, 43.5868]","[0.5204, 0.5372]","[0.2527, 0.2691]","[0.4518, 0.4678]","[20.4224, 21.891]","[42.0437, 43.9601]","[0.5208, 0.5326]","[0.2436, 0.266]","[0.4556, 0.4658]","[20.761, 21.6954]","[43.4649, 43.7567]","[0.5477, 0.5581]","[0.2988, 0.3162]","[0.4549, 0.4637]","[20.6953, 21.5119]","[48.0821, 48.7259]","[0.8833, 0.8851]","[0.5859, 0.5915]",-,"[0.8826, 0.8848]","[0.587, 0.594]",-,"[0.8815, 0.8861]","[0.5798, 0.5918]",-,"[0.8827, 0.8851]","[0.5784, 0.5876]",-,"[0.8833, 0.8847]","[0.5756, 0.5864]",-
,30,"[0.4905, 0.4989]","[0.2236, 0.2366]","[0.4335, 0.4421]","[18.7965, 19.5439]","[53.8793, 54.7057]","[0.5269, 0.5427]","[0.2633, 0.2677]","[0.4546, 0.4738]","[20.6768, 22.4574]","[52.1487, 53.6971]","[0.5408, 0.5524]","[0.2707, 0.2785]","[0.467, 0.4782]","[21.8194, 22.8694]","[53.539, 55.0914]","[0.5444, 0.5588]","[0.2669, 0.2869]","[0.4708, 0.483]","[22.1787, 23.3291]","[54.4483, 55.6941]","[0.5576, 0.5718]","[0.285, 0.2988]","[0.477, 0.4898]","[22.7527, 23.9895]","[59.1162, 60.1304]","[0.8806, 0.8842]","[0.5635, 0.5747]",-,"[0.881, 0.8842]","[0.5619, 0.5819]",-,"[0.8823, 0.8851]","[0.5674, 0.5798]",-,"[0.883, 0.8852]","[0.5603, 0.5711]",-,"[0.8823, 0.8845]","[0.5615, 0.5721]",-
,50,"[0.5218, 0.5472]","[0.2586, 0.3108]","[0.4386, 0.4632]","[19.2379, 21.4799]","[51.6986, 52.7146]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[0.8763, 0.8785]","[0.5467, 0.5555]",-,-,-,-,-,-,-,-,-,-,-,-,-
Credit,10,"[0.2773, 0.2917]","[0.0884, 0.1194]","[0.2612, 0.267]","[6.8298, 7.1266]","[47.2618, 48.6526]","[0.2982, 0.312]","[0.1249, 0.1409]","[0.2694, 0.2794]","[7.2584, 7.8142]","[48.0022, 49.1832]","[0.3123, 0.3241]","[0.1324, 0.1532]","[0.2793, 0.2887]","[7.8003, 8.3395]","[48.7641, 50.1307]","[0.3156, 0.3248]","[0.1313, 0.1531]","[0.2845, 0.2887]","[8.0889, 8.3389]","[49.993, 50.7444]","[0.3596, 0.3724]","[0.1398, 0.1586]","[0.3296, 0.3384]","[10.86, 11.4574]","[53.0683, 54.1907]","[0.8092, 0.8134]","[0.6161, 0.6235]",-,"[0.812, 0.8152]","[0.6187, 0.6275]",-,"[0.8099, 0.8141]","[0.6183, 0.6257]",-,"[0.8104, 0.815]","[0.6222, 0.6292]",-,"[0.8102, 0.813]","[0.6164, 0.6242]",-
